	business_id	name	neighborhood	address	city	state	postal_code	latitude	longitude	stars	review_count	is_open	categories
4	PfOCPjBrlQAnz__NXj9h_w	"""Brick House Tavern + Tap"""		"""581 Howe Ave"""	Cuyahoga Falls	OH	44221	41.1195346	-81.4756898	3.5	116	1	American (New);Nightlife;Bars;Sandwiches;American (Traditional);Burgers;Restaurants
35	8y56fOiKhtCnqaiYB2S2Qg	"""Brewster's Pub"""		"""96 S Main St"""	Munroe Falls	OH	44308	41.136622	-81.4392592	4.0	4	1	Nightlife;Pubs;Bars
40	tRVx2c89coruPRwYhGTcTw	"""Yuzu"""		"""13603 Madison Ave"""	Lakewood	OH	44107	41.4768463	-81.7869709	3.5	78	1	Nightlife;Izakaya;Comfort Food;Cocktail Bars;Asian Fusion;Bars;Japanese;Restaurants;Gastropubs;Tapas/Small Plates
62	ORUUPE_Ahrcop9K7h6rvVQ	"""Falls Auto Body"""		"""20 W Steels Corners Rd"""	Cuyahoga Falls	OH	44223	41.1804849	-81.5094524	5.0	3	1	Automotive;Body Shops;Auto Glass Services
69	0lCpaZpmjCFEmtti9O9ZdQ	"""LaPuma Bakery"""		"""12656 Chillicothe Rd"""	Chesterland	OH	44026	41.5242686	-81.3379626	3.5	3	0	Bakeries;Food
87	8XQmnE-v6RrsHiqEz6QXdg	"""Havel's Flowers & Greenhouses"""		"""9294 Mentor Ave"""	Mentor	OH	44060	41.6777682	-81.3068638	3.5	4	1	Florists;Wholesale Stores;Shopping;Flowers & Gifts
89	w5WBrukfSuEyTjYUYlV4Ug	"""International Exposition Center"""	Riverside	"""1 I-X Center Dr"""	Cleveland	OH	44135	41.3985053	-81.8532205	4.0	16	1	Venues & Event Spaces;Event Planning & Services
94	YvxQOMstU2MVDr2uNHs_vw	"""Mitchell's Ice Cream - Solon Shop"""		"""6130 Kruse Dr"""	Solon	OH	44139	41.392049	-81.4426351	4.5	42	1	Ice Cream & Frozen Yogurt;Food
117	veXxt8rGY_RJPpA5QkHT9Q	"""Barrio"""		"""2466 Fairmount Blvd"""	Cleveland Heights	OH	44106	41.5005856	-81.5922779	3.5	97	1	Food;Restaurants;Tacos;Food Trucks;Mexican
144	CfEJGhzBFkWKoe-UTT2jiw	"""Exotic Nails Touch"""		"""4961 Dover Center Rd"""	North Olmsted	OH	44070	41.4175274	-81.9227102	4.0	12	1	Beauty & Spas;Nail Salons
149	iOudjMD1sFvD9QTltPQiTg	"""Motel 6 Cleveland-Willoughby"""		"""35110 Maplegrove Rd"""	Willoughby	OH	44094	41.6053496	-81.4366698	2.5	15	1	Hotels & Travel;Event Planning & Services;Hotels
158	yh-NN-dCaxxleNcI-_bsUA	"""El Dorado's"""		"""1331 S Water St"""	Kent	OH	44240	41.1416311	-81.3566025	2.5	7	1	Pizza;Restaurants
159	8GL63JMAiD0mI-Z1Y-kT2Q	"""State Theater"""	Playhouse Square	"""1501 Euclid Ave, Ste 200, Playhouse Square"""	Cleveland	OH	44114	41.5021892095	-81.6805508637	4.5	5	1	Arts & Entertainment;Performing Arts
171	vIAQV1_p48AsKP-B9iULwg	"""Europtical"""		"""2932 Wooster Rd"""	Rocky River	OH	44116	41.4660661	-81.8386584	5.0	6	1	Eyewear & Opticians;Health & Medical;Shopping;Optometrists
179	GDOAg680Gmi6S1MlhU7B1g	"""Taco Bell"""		"""4110 Lee Road"""	Cleveland	OH	44128	41.447893	-81.564678	2.0	5	1	Mexican;Tex-Mex;Restaurants;Fast Food
194	1cLXGXThDYZ5WK_KpBLtkw	"""Koko Bakery"""	Goodrich Kirtland	"""3710 Payne Ave"""	Cleveland	OH	44114	41.5094078	-81.6621618	4.0	167	1	Bakeries;Coffee & Tea;Bubble Tea;Food
226	BiBILjVBFpT3QtYRwhrL6w	"""Washington & Lee Service, Inc"""		"""2080 Lee Rd"""	Cleveland	OH	44118	41.5028239	-81.565937	4.0	9	1	Auto Repair;Gas Stations;Automotive
231	c1HfT-Rm4iYSxsAsk8eW4Q	"""Cleveland Dog Walk"""	Ohio City	""""""	Cleveland	OH	44113	41.4857101	-81.6966306	5.0	5	1	Pet Services;Pet Sitting;Dog Walkers;Pets
232	paN928wuyEHzxw7Zn5_snw	"""DSW Designer Shoe Warehouse"""		"""291 Crocker Park Blvd"""	Westlake	OH	44145	41.459565	-81.950716	4.0	4	1	Fashion;Shoe Stores;Shopping
233	akRtfcCezswizRIaAqJ4fQ	"""KFC"""		"""25467 Detroit Avenue"""	Westlake	OH	44145	41.47	-81.9014	2.0	9	1	Chicken Wings;Restaurants;Fast Food
