"Site Region"
Zip Code,Index,Rank,County,Substate Region
"44104","99.8","5","Cuyahoga","Healthy Northeast Ohio"
"44307","99.6","5","Summit","Healthy Northeast Ohio"
"44115","99.4","5","Cuyahoga","Healthy Northeast Ohio"
"44127","99.2","5","Cuyahoga","Healthy Northeast Ohio"
"44110","98.4","5","Cuyahoga","Healthy Northeast Ohio"
"44103","98.3","5","Cuyahoga","Healthy Northeast Ohio"
"44105","98.2","5","Cuyahoga","Healthy Northeast Ohio"
"44311","97.9","5","Summit","Healthy Northeast Ohio"
"44108","97.6","5","Cuyahoga","Healthy Northeast Ohio"
"44112","97.6","5","Cuyahoga","Healthy Northeast Ohio"
"44306","97.3","5","Summit","Healthy Northeast Ohio"
"44102","96.6","5","Cuyahoga","Healthy Northeast Ohio"
"44128","96.1","5","Cuyahoga","Healthy Northeast Ohio"
"44109","95.7","5","Cuyahoga","Healthy Northeast Ohio"
"44055","94.7","5","Lorain","Healthy Northeast Ohio"
"44052","93.8","5","Lorain","Healthy Northeast Ohio"
"44302","93.0","5","Summit","Healthy Northeast Ohio"
"44320","91.7","5","Summit","Healthy Northeast Ohio"
"44132","91.6","5","Cuyahoga","Healthy Northeast Ohio"
"44135","91.1","5","Cuyahoga","Healthy Northeast Ohio"
"44288","90.4","5","Portage","Healthy Northeast Ohio"
"44123","89.4","5","Cuyahoga","Healthy Northeast Ohio"
"44120","88.4","5","Cuyahoga","Healthy Northeast Ohio"
"44111","88.1","5","Cuyahoga","Healthy Northeast Ohio"
"44117","88.0","5","Cuyahoga","Healthy Northeast Ohio"
"44137","86.2","5","Cuyahoga","Healthy Northeast Ohio"
"44314","86.2","5","Summit","Healthy Northeast Ohio"
"44119","86.0","5","Cuyahoga","Healthy Northeast Ohio"
"44308","85.7","5","Summit","Healthy Northeast Ohio"
"44305","85.6","5","Summit","Healthy Northeast Ohio"
"44004","85.3","5","Ashtabula","Healthy Northeast Ohio"
"44310","85.3","5","Summit","Healthy Northeast Ohio"
"44301","84.7","5","Summit","Healthy Northeast Ohio"
"44114","84.1","5","Cuyahoga","Healthy Northeast Ohio"
"44125","81.3","5","Cuyahoga","Healthy Northeast Ohio"
"44003","80.7","5","Ashtabula","Healthy Northeast Ohio"
"44144","79.5","5","Cuyahoga","Healthy Northeast Ohio"
"44032","77.6","4","Ashtabula","Healthy Northeast Ohio"
"44121","77.5","4","Cuyahoga","Healthy Northeast Ohio"
"44035","74.0","4","Lorain","Healthy Northeast Ohio"
"44106","72.4","4","Cuyahoga","Healthy Northeast Ohio"
"44129","72.2","4","Cuyahoga","Healthy Northeast Ohio"
"44304","72.2","4","Summit","Healthy Northeast Ohio"
"44146","71.2","4","Cuyahoga","Healthy Northeast Ohio"
"44041","71.1","4","Ashtabula","Healthy Northeast Ohio"
"44076","69.9","4","Ashtabula","Healthy Northeast Ohio"
"44030","69.4","4","Ashtabula","Healthy Northeast Ohio"
"44082","66.2","4","Ashtabula","Healthy Northeast Ohio"
"44113","65.8","4","Cuyahoga","Healthy Northeast Ohio"
"44047","64.5","4","Ashtabula","Healthy Northeast Ohio"
"44254","63.1","4","Medina","Healthy Northeast Ohio"
"44215","62.5","4","Medina","Healthy Northeast Ohio"
"44093","61.9","4","Ashtabula","Healthy Northeast Ohio"
"44842","61.6","4","Ashland","Healthy Northeast Ohio"
"44053","61.0","4","Lorain","Healthy Northeast Ohio"
"44266","58.1","4","Portage","Healthy Northeast Ohio"
"44134","57.3","4","Cuyahoga","Healthy Northeast Ohio"
"44203","57.3","4","Summit","Healthy Northeast Ohio"
"44099","56.1","4","Ashtabula","Healthy Northeast Ohio"
"44010","55.7","4","Ashtabula","Healthy Northeast Ohio"
"44048","53.2","3","Ashtabula","Healthy Northeast Ohio"
"44864","51.9","3","Ashland","Healthy Northeast Ohio"
"44062","51.5","3","Geauga","Healthy Northeast Ohio"
"44312","51.2","3","Summit","Healthy Northeast Ohio"
"44107","50.8","3","Cuyahoga","Healthy Northeast Ohio"
"44411","49.5","3","Portage","Healthy Northeast Ohio"
"44240","47.5","3","Portage","Healthy Northeast Ohio"
"44221","47.3","3","Summit","Healthy Northeast Ohio"
"44231","47.3","3","Portage","Healthy Northeast Ohio"
